access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
read,101,7.0734798908e+00,7.0554239750e+00,7.9016994270e+06,7.9219210919e+06
read,102,7.0734930038e+00,7.0554311275e+00,7.9016847786e+06,7.9219130610e+06
read,103,7.0735139847e+00,7.0554230213e+00,7.9016613413e+06,7.9219221627e+06
read,104,7.0734748840e+00,7.0534970760e+00,7.9017050200e+06,7.9240852300e+06
read,105,7.0734710693e+00,7.0554239750e+00,7.9017092814e+06,7.9219210919e+06
read,106,7.0734920502e+00,7.0554320812e+00,7.9016858439e+06,7.9219119902e+06
read,107,7.0734980106e+00,7.0554230213e+00,7.9016791856e+06,7.9219221627e+06
read,108,7.0735039711e+00,7.0554349422e+00,7.9016725273e+06,7.9219087778e+06
read,109,7.0735280514e+00,7.0554268360e+00,7.9016456278e+06,7.9219178795e+06
read,110,7.0735371113e+00,7.0554349422e+00,7.9016355072e+06,7.9219087778e+06
read,111,7.0734829903e+00,7.0554311275e+00,7.9016959646e+06,7.9219130610e+06
read,112,7.0734870434e+00,7.0554339886e+00,7.9016914369e+06,7.9219098486e+06
read,113,7.0734848976e+00,7.0554280281e+00,7.9016938339e+06,7.9219165410e+06
read,114,7.0734941959e+00,7.0554339886e+00,7.9016834469e+06,7.9219098486e+06
read,115,7.0735359192e+00,7.0554270744e+00,7.9016368389e+06,7.9219176118e+06
read,116,7.0735189915e+00,7.0554339886e+00,7.9016557483e+06,7.9219098486e+06
read,117,7.0734989643e+00,7.0554270744e+00,7.9016781203e+06,7.9219176118e+06
read,118,7.0734879971e+00,7.0554339886e+00,7.9016903716e+06,7.9219098486e+06
read,119,7.0735380650e+00,7.0554258823e+00,7.9016344419e+06,7.9219189503e+06
read,120,7.0735020638e+00,7.0554349422e+00,7.9016746579e+06,7.9219087778e+06
read,121,7.0735499859e+00,7.0554280281e+00,7.9016211254e+06,7.9219165410e+06
read,122,7.0735220909e+00,7.0554349422e+00,7.9016522860e+06,7.9219087778e+06
read,123,7.0735309124e+00,7.0554280281e+00,7.9016424318e+06,7.9219165410e+06
read,124,7.0735020638e+00,7.0554358959e+00,7.9016746579e+06,7.9219077070e+06
read,125,7.0735089779e+00,7.0554268360e+00,7.9016669343e+06,7.9219178795e+06
read,126,7.0735299587e+00,7.0554368496e+00,7.9016434971e+06,7.9219066362e+06
read,127,7.0734980106e+00,7.0554299355e+00,7.9016791856e+06,7.9219143995e+06
read,128,7.0734648705e+00,7.0554280281e+00,7.9017162061e+06,7.9219165410e+06
read,129,7.0735390186e+00,7.0554211140e+00,7.9016333766e+06,7.9219243043e+06
read,130,7.0735440254e+00,7.0554280281e+00,7.9016277836e+06,7.9219165410e+06
read,131,7.0735290051e+00,7.0554180145e+00,7.9016445624e+06,7.9219277844e+06
read,132,7.0735270977e+00,7.0554261208e+00,7.9016466931e+06,7.9219186826e+06
read,133,7.0734870434e+00,7.0554180145e+00,7.9016914369e+06,7.9219277844e+06
read,134,7.0735230446e+00,7.0554261208e+00,7.9016512207e+06,7.9219186826e+06
read,135,7.0734729767e+00,7.0554161072e+00,7.9017071507e+06,7.9219299260e+06
read,136,7.0734980106e+00,7.0554270744e+00,7.9016791856e+06,7.9219176118e+06
read,137,7.0735340118e+00,7.0554211140e+00,7.9016389695e+06,7.9219243043e+06
read,138,7.0735061169e+00,7.0554261208e+00,7.9016701303e+06,7.9219186826e+06
read,139,7.0734920502e+00,7.0554170609e+00,7.9016858439e+06,7.9219288552e+06
read,140,7.0735120773e+00,7.0554270744e+00,7.9016634720e+06,7.9219176118e+06
read,141,7.0734689236e+00,7.0554211140e+00,7.9017116784e+06,7.9219243043e+06
read,142,7.0735199451e+00,7.0554270744e+00,7.9016546830e+06,7.9219176118e+06
read,143,7.0735001564e+00,7.0554199219e+00,7.9016767886e+06,7.9219256428e+06
read,144,7.0735430717e+00,7.0554280281e+00,7.9016288489e+06,7.9219165410e+06
read,145,7.0735378265e+00,7.0554230213e+00,7.9016347082e+06,7.9219221627e+06
read,146,7.0735318661e+00,7.0554270744e+00,7.9016413665e+06,7.9219176118e+06
read,147,7.0735290051e+00,7.0554199219e+00,7.9016445624e+06,7.9219256428e+06
read,148,7.0734639168e+00,7.0551421642e+00,7.9017172714e+06,7.9222375253e+06
read,149,7.0735108852e+00,7.0554201603e+00,7.9016648036e+06,7.9219253751e+06
read,150,7.0735139847e+00,7.0554270744e+00,7.9016613413e+06,7.9219176118e+06
read,151,7.0735068321e+00,7.0554189682e+00,7.9016693313e+06,7.9219267136e+06
