access,rank,runtime-with-openclose,runtime,throughput-withopenclose,throughput
write,172,7.7704445696e+02,3.8424675298e+02,7.1965916878e+05,1.4553334899e+06
write,173,7.7704450297e+02,3.3649196506e+02,7.1965912616e+05,1.6618737624e+06
write,174,7.7704445887e+02,7.5825807595e+02,7.1965916701e+05,7.3748923452e+05
write,175,7.7704447198e+02,5.6715304804e+02,7.1965915487e+05,9.8598988392e+05
write,176,7.7704445910e+02,3.3649198008e+02,7.1965916679e+05,1.6618736883e+06
write,177,7.7704450011e+02,5.6419848204e+02,7.1965912881e+05,9.9115326575e+05
write,178,7.7704449701e+02,3.3649201703e+02,7.1965913168e+05,1.6618735058e+06
write,179,7.7704449010e+02,7.5182498193e+02,7.1965913809e+05,7.4379966274e+05
write,180,7.7704454494e+02,4.3617851400e+02,7.1965908730e+05,1.2820603263e+06
write,181,7.7704457998e+02,7.5681441998e+02,7.1965905484e+05,7.3889602686e+05
write,182,7.7704455185e+02,4.3617877102e+02,7.1965908090e+05,1.2820595709e+06
write,183,7.7704456902e+02,6.3670548391e+02,7.1965906500e+05,8.7828231754e+05
write,184,7.7704455709e+02,4.3617852902e+02,7.1965907604e+05,1.2820602822e+06
write,185,7.7704532409e+02,6.1432420301e+02,7.1965836569e+05,9.1028021565e+05
write,186,7.7704457188e+02,4.3617852807e+02,7.1965906235e+05,1.2820602850e+06
write,187,7.7704455209e+02,5.4752939701e+02,7.1965908068e+05,1.0213281169e+06
write,188,7.7704454303e+02,4.3617873406e+02,7.1965908907e+05,1.2820596795e+06
write,189,7.7704457211e+02,5.4157911301e+02,7.1965906213e+05,1.0325493627e+06
write,190,7.7704454207e+02,4.3617850900e+02,7.1965908995e+05,1.2820603410e+06
write,191,7.7704456186e+02,4.4276233506e+02,7.1965907162e+05,1.2629962481e+06
write,192,7.7704454803e+02,4.3617868185e+02,7.1965908443e+05,1.2820598330e+06
write,193,7.7704457188e+02,5.2322403002e+02,7.1965906235e+05,1.0687719522e+06
write,194,7.7704457211e+02,4.3617874885e+02,7.1965906213e+05,1.2820596361e+06
write,195,7.7704456186e+02,5.2086371994e+02,7.1965907162e+05,1.0736151254e+06
write,196,7.7704454708e+02,4.3617851305e+02,7.1965908531e+05,1.2820603291e+06
write,197,7.7704457903e+02,5.1972204900e+02,7.1965905572e+05,1.0759735306e+06
write,198,7.7704457307e+02,4.3617851186e+02,7.1965906124e+05,1.2820603326e+06
write,199,7.7704458308e+02,5.2086371899e+02,7.1965905197e+05,1.0736151274e+06
write,200,7.7704454899e+02,4.3617870498e+02,7.1965908355e+05,1.2820597650e+06
write,201,7.7704458284e+02,5.1972207713e+02,7.1965905219e+05,1.0759734724e+06
write,202,7.7704457712e+02,4.3617873502e+02,7.1965905749e+05,1.2820596767e+06
write,203,7.7704456401e+02,5.1972184396e+02,7.1965906964e+05,1.0759739551e+06
write,204,7.7704454398e+02,4.3617854285e+02,7.1965908818e+05,1.2820602415e+06
write,205,7.7704458308e+02,5.1493849516e+02,7.1965905197e+05,1.0859688550e+06
write,206,7.7704454708e+02,4.3617875791e+02,7.1965908531e+05,1.2820596094e+06
write,207,7.7704457903e+02,5.1493849087e+02,7.1965905572e+05,1.0859688641e+06
write,208,7.7704454398e+02,4.3617875099e+02,7.1965908818e+05,1.2820596297e+06
write,209,7.7704457402e+02,5.1219039893e+02,7.1965906036e+05,1.0917954908e+06
write,210,7.7704457808e+02,4.3617857790e+02,7.1965905661e+05,1.2820601385e+06
write,211,7.7704457784e+02,5.1008310103e+02,7.1965905683e+05,1.0963060075e+06
write,212,7.7704454303e+02,4.3617873693e+02,7.1965908907e+05,1.2820596711e+06
write,213,7.7704457593e+02,5.1008304405e+02,7.1965905860e+05,1.0963061300e+06
write,214,7.7704456997e+02,4.3617850494e+02,7.1965906412e+05,1.2820603530e+06
write,215,7.7704458094e+02,7.6669568014e+02,7.1965905396e+05,7.2937305177e+05
write,216,7.7704447484e+02,7.2262664199e+02,7.1965915222e+05,7.7385351647e+05
write,217,7.7704516912e+02,5.7354152799e+02,7.1965850922e+05,9.7500728494e+05
write,218,7.7704448295e+02,5.7354152799e+02,7.1965914471e+05,9.7500728494e+05
write,219,7.7704446006e+02,7.7699857497e+02,7.1965916591e+05,7.1970166486e+05
